id,date,incident_type,severity,status,description,reported_by,created_at
45,2025-02-08,Unauthorized Access,High,Investigating,Description for incident 45,Web Team,2025-02-08 23:49:00
46,2025-02-08,Malware,Low,Investigating,Description for incident 46,IT Admin,2025-02-08 11:33:00
47,2025-02-10,Network Intrusion,High,Mitigating,Description for incident 47,David,2025-02-10 14:25:00
48,2025-02-04,Password Attack,Critical,Mitigating,Description for incident 48,Alice,2025-02-04 06:35:00
49,2025-03-01,Unauthorized Access,Medium,Resolved,Description for incident 49,Alice,2025-03-01 17:34:00
50,2025-01-13,Unauthorized Access,Low,Mitigating,Description for incident 50,Charlie,2025-01-13 17:48:00
51,2025-02-26,Ransomware,Medium,Investigating,Description for incident 51,Security Team,2025-02-26 00:48:00
52,2025-02-04,SQL Injection,Low,Resolved,Description for incident 52,Web Team,2025-02-04 07:02:00
53,2025-01-18,Network Intrusion,Medium,Open,Description for incident 53,Bob,2025-01-18 14:51:00
54,2025-01-30,Insider Threat,High,Open,Description for incident 54,Security Team,2025-01-30 00:01:00
55,2025-01-22,Unauthorized Access,High,Investigating,Description for incident 55,Alice,2025-01-22 11:39:00
56,2025-03-02,Insider Threat,Critical,Resolved,Description for incident 56,Frank,2025-03-02 09:57:00
57,2025-02-25,DDoS,Low,Mitigating,Description for incident 57,Security Team,2025-02-25 17:11:00
58,2025-02-14,SQL Injection,Medium,Open,Description for incident 58,Alice,2025-02-14 06:09:00
59,2025-01-20,Unauthorized Access,High,Investigating,Description for incident 59,Alice,2025-01-20 18:50:00
60,2025-02-22,SQL Injection,Medium,Open,Description for incident 60,Alice,2025-02-22 16:11:00
61,2025-01-11,Malware,High,Mitigating,Description for incident 61,David,2025-01-11 02:24:00
62,2025-01-22,Network Intrusion,High,Investigating,Description for incident 62,Eve,2025-01-22 17:44:00
63,2025-01-27,Phishing,Low,Investigating,Description for incident 63,Security Team,2025-01-27 22:59:00
64,2025-02-01,DDoS,High,Resolved,Description for incident 64,Web Team,2025-02-01 21:22:00
65,2025-01-03,Network Intrusion,High,Resolved,Description for incident 65,Security Team,2025-01-03 01:01:00
66,2025-03-01,Insider Threat,Low,Open,Description for incident 66,Alice,2025-03-01 08:47:00
67,2025-02-24,Password Attack,Critical,Investigating,Description for incident 67,Security Team,2025-02-24 21:08:00
68,2025-01-01,Insider Threat,Medium,Investigating,Description for incident 68,Security Team,2025-01-01 02:24:00
69,2025-01-01,Ransomware,Medium,Resolved,Description for incident 69,Eve,2025-01-01 10:05:00
70,2025-02-06,Insider Threat,Critical,Mitigating,Description for incident 70,Grace,2025-02-06 16:42:00
71,2025-02-04,Insider Threat,Low,Investigating,Description for incident 71,Grace,2025-02-04 14:27:00
72,2025-02-10,Data Breach,Critical,Resolved,Description for incident 72,Bob,2025-02-10 05:01:00
73,2025-01-31,Malware,Medium,Open,Description for incident 73,Charlie,2025-01-31 07:12:00
74,2025-02-05,SQL Injection,Critical,Open,Description for incident 74,Eve,2025-02-05 18:06:00
75,2025-01-30,Network Intrusion,Low,Mitigating,Description for incident 75,Grace,2025-01-30 09:35:00
76,2025-01-02,Password Attack,Critical,Open,Description for incident 76,Frank,2025-01-02 15:37:00
77,2025-01-27,Unauthorized Access,Critical,Resolved,Description for incident 77,Charlie,2025-01-27 19:48:00
78,2025-02-15,Phishing,High,Investigating,Description for incident 78,Eve,2025-02-15 01:48:00
79,2025-01-20,Malware,Low,Investigating,Description for incident 79,Web Team,2025-01-20 19:12:00
80,2025-02-24,SQL Injection,Medium,Resolved,Description for incident 80,IT Admin,2025-02-24 13:25:00
81,2025-01-22,Network Intrusion,Medium,Mitigating,Description for incident 81,IT Admin,2025-01-22 09:06:00
82,2025-01-29,Network Intrusion,High,Open,Description for incident 82,Security Team,2025-01-29 22:13:00
83,2025-01-08,DDoS,Critical,Resolved,Description for incident 83,David,2025-01-08 11:11:00
84,2025-02-15,Data Breach,Critical,Investigating,Description for incident 84,Bob,2025-02-15 19:15:00
85,2025-01-06,Phishing,High,Mitigating,Description for incident 85,Bob,2025-01-06 03:16:00
86,2025-02-18,Insider Threat,Critical,Open,Description for incident 86,Eve,2025-02-18 20:15:00
87,2025-02-25,Password Attack,Medium,Investigating,Description for incident 87,Bob,2025-02-25 15:26:00
88,2025-01-19,Network Intrusion,Medium,Open,Description for incident 88,IT Admin,2025-01-19 21:54:00
89,2025-01-18,SQL Injection,Critical,Mitigating,Description for incident 89,Alice,2025-01-18 04:15:00
90,2025-01-02,Insider Threat,Medium,Mitigating,Description for incident 90,Grace,2025-01-02 14:33:00
91,2025-02-21,Password Attack,Low,Mitigating,Description for incident 91,Security Team,2025-02-21 19:16:00
92,2025-01-10,Phishing,High,Investigating,Description for incident 92,Charlie,2025-01-10 09:46:00
93,2025-01-07,Ransomware,Critical,Resolved,Description for incident 93,Web Team,2025-01-07 11:41:00
94,2025-01-25,Phishing,Medium,Open,Description for incident 94,Eve,2025-01-25 10:30:00
95,2025-02-10,Insider Threat,Low,Open,Description for incident 95,Frank,2025-02-10 17:53:00
96,2025-02-12,Data Breach,High,Open,Description for incident 96,Grace,2025-02-12 13:19:00
97,2025-02-22,Ransomware,High,Mitigating,Description for incident 97,Grace,2025-02-22 21:34:00
98,2025-03-02,Ransomware,Low,Mitigating,Description for incident 98,Alice,2025-03-02 10:32:00
99,2025-02-06,Malware,Critical,Mitigating,Description for incident 99,Alice,2025-02-06 01:18:00
100,2025-01-12,Ransomware,High,Mitigating,Description for incident 100,Grace,2025-01-12 02:25:00
101,2025-02-10,Phishing,Medium,Open,Description for incident 101,Web Team,2025-02-10 20:00:00
102,2025-02-22,Data Breach,High,Open,Description for incident 102,Grace,2025-02-22 01:31:00
103,2025-01-03,Network Intrusion,Low,Investigating,Description for incident 103,Security Team,2025-01-03 10:01:00
104,2025-02-23,DDoS,Low,Mitigating,Description for incident 104,IT Admin,2025-02-23 23:27:00
105,2025-03-01,DDoS,Medium,Open,Description for incident 105,Security Team,2025-03-01 18:04:00
106,2025-01-07,Unauthorized Access,Critical,Resolved,Description for incident 106,Eve,2025-01-07 00:32:00
107,2025-01-04,Password Attack,Critical,Mitigating,Description for incident 107,Eve,2025-01-04 01:20:00
108,2025-01-19,Data Breach,Low,Open,Description for incident 108,David,2025-01-19 08:32:00
109,2025-01-23,Insider Threat,Medium,Mitigating,Description for incident 109,Charlie,2025-01-23 14:03:00
110,2025-01-25,Network Intrusion,Low,Investigating,Description for incident 110,Alice,2025-01-25 10:24:00
111,2025-02-26,DDoS,Low,Resolved,Description for incident 111,IT Admin,2025-02-26 14:51:00
112,2025-02-24,Network Intrusion,Medium,Investigating,Description for incident 112,Bob,2025-02-24 02:31:00
113,2025-01-14,Insider Threat,Medium,Resolved,Description for incident 113,Charlie,2025-01-14 04:41:00
114,2025-01-19,Malware,Low,Resolved,Description for incident 114,Bob,2025-01-19 10:12:00
115,2025-01-17,Network Intrusion,Low,Investigating,Description for incident 115,David,2025-01-17 23:40:00
116,2025-02-08,Malware,Critical,Open,Description for incident 116,Charlie,2025-02-08 15:16:00
117,2025-01-03,DDoS,High,Open,Description for incident 117,IT Admin,2025-01-03 08:32:00
118,2025-02-07,Network Intrusion,Low,Mitigating,Description for incident 118,Eve,2025-02-07 03:27:00
119,2025-01-19,Unauthorized Access,Low,Investigating,Description for incident 119,Alice,2025-01-19 06:16:00
120,2025-01-11,Malware,High,Resolved,Description for incident 120,Web Team,2025-01-11 08:18:00
121,2025-01-03,Ransomware,Medium,Investigating,Description for incident 121,Charlie,2025-01-03 23:55:00
122,2025-02-17,Insider Threat,Medium,Mitigating,Description for incident 122,David,2025-02-17 01:45:00
123,2025-01-17,Phishing,Critical,Mitigating,Description for incident 123,David,2025-01-17 14:43:00
124,2025-01-08,Malware,Critical,Mitigating,Description for incident 124,Bob,2025-01-08 14:27:00
125,2025-01-02,Data Breach,Low,Investigating,Description for incident 125,Charlie,2025-01-02 13:08:00
126,2025-02-11,DDoS,High,Investigating,Description for incident 126,Bob,2025-02-11 19:51:00
127,2025-02-07,Unauthorized Access,Critical,Investigating,Description for incident 127,Security Team,2025-02-07 22:03:00
128,2025-01-08,Ransomware,Critical,Investigating,Description for incident 128,Web Team,2025-01-08 07:06:00
129,2025-02-11,Unauthorized Access,Critical,Investigating,Description for incident 129,David,2025-02-11 21:57:00
130,2025-01-20,Network Intrusion,High,Resolved,Description for incident 130,Bob,2025-01-20 12:23:00
131,2025-02-22,Insider Threat,Critical,Investigating,Description for incident 131,Security Team,2025-02-22 12:02:00
132,2025-01-18,Unauthorized Access,Low,Mitigating,Description for incident 132,Web Team,2025-01-18 17:42:00
133,2025-01-10,Malware,Medium,Resolved,Description for incident 133,Web Team,2025-01-10 03:14:00
134,2025-01-15,Malware,Medium,Investigating,Description for incident 134,Grace,2025-01-15 21:26:00
135,2025-01-21,Phishing,High,Investigating,Description for incident 135,Charlie,2025-01-21 17:59:00
136,2025-02-20,Data Breach,Critical,Investigating,Description for incident 136,Security Team,2025-02-20 23:36:00
137,2025-02-22,Network Intrusion,Medium,Investigating,Description for incident 137,Alice,2025-02-22 10:18:00
138,2025-02-02,Password Attack,Critical,Open,Description for incident 138,Web Team,2025-02-02 07:59:00
139,2025-01-11,Phishing,Low,Resolved,Description for incident 139,David,2025-01-11 08:13:00
140,2025-01-27,Password Attack,Low,Resolved,Description for incident 140,Alice,2025-01-27 06:37:00
141,2025-01-11,Insider Threat,High,Resolved,Description for incident 141,Alice,2025-01-11 07:12:00
142,2025-01-23,Ransomware,Low,Resolved,Description for incident 142,IT Admin,2025-01-23 10:21:00
143,2025-02-02,Insider Threat,High,Open,Description for incident 143,Bob,2025-02-02 03:38:00
144,2025-02-24,Phishing,High,Investigating,Description for incident 144,Bob,2025-02-24 04:33:00
145,2025-02-01,Unauthorized Access,Critical,Investigating,Description for incident 145,Frank,2025-02-01 02:57:00
146,2025-02-09,Ransomware,Medium,Mitigating,Description for incident 146,Grace,2025-02-09 11:14:00
147,2025-01-11,Malware,High,Resolved,Description for incident 147,David,2025-01-11 18:19:00
148,2025-02-20,Insider Threat,High,Open,Description for incident 148,Security Team,2025-02-20 21:16:00
149,2025-02-09,Data Breach,Low,Mitigating,Description for incident 149,Security Team,2025-02-09 11:14:00
150,2025-01-20,Malware,Critical,Investigating,Description for incident 150,Eve,2025-01-20 12:07:00
151,2025-02-06,Network Intrusion,Medium,Mitigating,Description for incident 151,Security Team,2025-02-06 11:21:00
152,2025-02-01,Data Breach,High,Mitigating,Description for incident 152,Charlie,2025-02-01 18:05:00
153,2025-02-14,SQL Injection,Medium,Investigating,Description for incident 153,Grace,2025-02-14 10:35:00
154,2025-02-07,Phishing,Critical,Investigating,Description for incident 154,IT Admin,2025-02-07 23:50:00
155,2025-02-11,Unauthorized Access,Medium,Investigating,Description for incident 155,David,2025-02-11 15:05:00
156,2025-02-09,Insider Threat,High,Mitigating,Description for incident 156,Web Team,2025-02-09 14:17:00
157,2025-01-10,Ransomware,Medium,Open,Description for incident 157,Eve,2025-01-10 20:49:00
158,2025-01-21,Unauthorized Access,Critical,Resolved,Description for incident 158,Charlie,2025-01-21 14:54:00
159,2025-01-03,Password Attack,Low,Resolved,Description for incident 159,David,2025-01-03 09:57:00
160,2025-01-06,SQL Injection,High,Resolved,Description for incident 160,Bob,2025-01-06 07:13:00
161,2025-02-15,Malware,Low,Resolved,Description for incident 161,IT Admin,2025-02-15 02:16:00
162,2025-02-21,Network Intrusion,Medium,Open,Description for incident 162,David,2025-02-21 17:49:00
163,2025-02-27,Insider Threat,Medium,Investigating,Description for incident 163,Alice,2025-02-27 04:15:00
164,2025-02-13,Phishing,Medium,Mitigating,Description for incident 164,Security Team,2025-02-13 05:35:00
165,2025-01-07,Password Attack,Low,Mitigating,Description for incident 165,Charlie,2025-01-07 23:40:00
166,2025-01-15,Phishing,Low,Mitigating,Description for incident 166,Security Team,2025-01-15 03:28:00
167,2025-02-01,DDoS,Low,Open,Description for incident 167,Alice,2025-02-01 23:25:00
168,2025-02-17,Ransomware,Critical,Open,Description for incident 168,IT Admin,2025-02-17 00:55:00
169,2025-02-04,Insider Threat,Low,Resolved,Description for incident 169,Web Team,2025-02-04 08:47:00
170,2025-02-04,Insider Threat,Low,Open,Description for incident 170,IT Admin,2025-02-04 03:37:00
171,2025-01-08,Unauthorized Access,High,Open,Description for incident 171,Alice,2025-01-08 12:57:00
172,2025-02-07,Insider Threat,Low,Mitigating,Description for incident 172,Eve,2025-02-07 23:32:00
173,2025-01-28,Network Intrusion,Medium,Investigating,Description for incident 173,Eve,2025-01-28 19:29:00
174,2025-01-06,Data Breach,High,Resolved,Description for incident 174,Charlie,2025-01-06 04:39:00
175,2025-02-25,Network Intrusion,High,Resolved,Description for incident 175,Frank,2025-02-25 22:44:00
176,2025-02-14,Malware,High,Investigating,Description for incident 176,IT Admin,2025-02-14 17:25:00
177,2025-01-27,Data Breach,Low,Resolved,Description for incident 177,Eve,2025-01-27 14:25:00
178,2025-02-10,SQL Injection,High,Investigating,Description for incident 178,Bob,2025-02-10 18:23:00
179,2025-02-01,Unauthorized Access,High,Mitigating,Description for incident 179,David,2025-02-01 23:51:00
180,2025-01-03,Unauthorized Access,Low,Open,Description for incident 180,Frank,2025-01-03 04:41:00
181,2025-01-02,Password Attack,High,Mitigating,Description for incident 181,Alice,2025-01-02 03:02:00
182,2025-01-11,Phishing,Critical,Resolved,Description for incident 182,Web Team,2025-01-11 08:06:00
183,2025-01-15,DDoS,Low,Open,Description for incident 183,Security Team,2025-01-15 03:10:00
184,2025-02-12,Ransomware,Low,Mitigating,Description for incident 184,IT Admin,2025-02-12 17:52:00
185,2025-02-05,Insider Threat,High,Investigating,Description for incident 185,IT Admin,2025-02-05 11:13:00
186,2025-01-08,DDoS,High,Resolved,Description for incident 186,Bob,2025-01-08 02:17:00
187,2025-01-26,Data Breach,Critical,Mitigating,Description for incident 187,Web Team,2025-01-26 23:54:00
188,2025-02-08,Unauthorized Access,Critical,Investigating,Description for incident 188,IT Admin,2025-02-08 22:14:00
189,2025-01-20,Insider Threat,Medium,Investigating,Description for incident 189,Grace,2025-01-20 21:54:00
190,2025-01-11,Ransomware,Medium,Resolved,Description for incident 190,Security Team,2025-01-11 13:29:00
191,2025-01-22,Malware,Low,Investigating,Description for incident 191,Bob,2025-01-22 14:27:00
192,2025-02-18,Unauthorized Access,Critical,Investigating,Description for incident 192,Frank,2025-02-18 14:03:00
193,2025-02-21,Unauthorized Access,High,Mitigating,Description for incident 193,Alice,2025-02-21 06:17:00
194,2025-02-16,Data Breach,Low,Mitigating,Description for incident 194,Grace,2025-02-16 10:22:00
195,2025-02-20,Data Breach,Low,Resolved,Description for incident 195,Frank,2025-02-20 20:13:00
196,2025-01-14,Network Intrusion,Critical,Investigating,Description for incident 196,Security Team,2025-01-14 12:12:00
197,2025-01-26,SQL Injection,Critical,Open,Description for incident 197,Frank,2025-01-26 05:06:00
198,2025-02-24,Network Intrusion,Medium,Investigating,Description for incident 198,Web Team,2025-02-24 06:10:00
199,2025-02-05,Insider Threat,Medium,Mitigating,Description for incident 199,Eve,2025-02-05 10:47:00
200,2025-02-08,Ransomware,Critical,Mitigating,Description for incident 200,Charlie,2025-02-08 20:57:00
201,2025-02-13,SQL Injection,Low,Mitigating,Description for incident 201,Frank,2025-02-13 15:27:00
202,2025-02-10,Insider Threat,Medium,Resolved,Description for incident 202,Alice,2025-02-10 03:10:00
203,2025-02-22,Phishing,High,Open,Description for incident 203,Web Team,2025-02-22 17:50:00
204,2025-02-15,Ransomware,Critical,Open,Description for incident 204,Charlie,2025-02-15 05:29:00
205,2025-01-23,Network Intrusion,Critical,Mitigating,Description for incident 205,Bob,2025-01-23 22:54:00
206,2025-02-24,Ransomware,Low,Open,Description for incident 206,Bob,2025-02-24 18:43:00
207,2025-01-26,Phishing,Medium,Open,Description for incident 207,Security Team,2025-01-26 14:16:00
208,2025-01-16,DDoS,Critical,Mitigating,Description for incident 208,Grace,2025-01-16 22:58:00
209,2025-02-23,Network Intrusion,High,Open,Description for incident 209,Alice,2025-02-23 08:31:00
210,2025-02-20,Password Attack,Critical,Open,Description for incident 210,David,2025-02-20 00:52:00
211,2025-01-13,Network Intrusion,Medium,Investigating,Description for incident 211,Web Team,2025-01-13 05:00:00
212,2025-01-13,Insider Threat,Medium,Mitigating,Description for incident 212,Bob,2025-01-13 07:54:00
213,2025-01-12,Malware,Low,Investigating,Description for incident 213,Charlie,2025-01-12 22:07:00
214,2025-02-12,Data Breach,Medium,Investigating,Description for incident 214,Eve,2025-02-12 01:38:00
215,2025-01-15,Data Breach,High,Investigating,Description for incident 215,Grace,2025-01-15 17:08:00
216,2025-01-29,Unauthorized Access,Low,Mitigating,Description for incident 216,Alice,2025-01-29 17:17:00
217,2025-03-02,Unauthorized Access,Medium,Resolved,Description for incident 217,David,2025-03-02 13:41:00
218,2025-02-25,Password Attack,Low,Open,Description for incident 218,Frank,2025-02-25 20:18:00
219,2025-01-27,DDoS,Low,Open,Description for incident 219,Security Team,2025-01-27 15:24:00
220,2025-01-17,SQL Injection,High,Resolved,Description for incident 220,Frank,2025-01-17 22:39:00
221,2025-01-07,Phishing,High,Mitigating,Description for incident 221,IT Admin,2025-01-07 12:37:00
222,2025-02-18,Data Breach,Low,Resolved,Description for incident 222,IT Admin,2025-02-18 23:49:00
223,2025-01-08,Ransomware,Medium,Mitigating,Description for incident 223,IT Admin,2025-01-08 17:37:00
224,2025-02-10,Unauthorized Access,Low,Mitigating,Description for incident 224,Charlie,2025-02-10 23:45:00
225,2025-01-09,Unauthorized Access,Critical,Open,Description for incident 225,Eve,2025-01-09 14:13:00
226,2025-01-06,Network Intrusion,Low,Resolved,Description for incident 226,Frank,2025-01-06 14:00:00
227,2025-01-10,Ransomware,Critical,Open,Description for incident 227,Alice,2025-01-10 05:17:00
228,2025-01-15,Ransomware,High,Investigating,Description for incident 228,Charlie,2025-01-15 01:08:00
229,2025-01-12,Ransomware,High,Investigating,Description for incident 229,Bob,2025-01-12 02:57:00
230,2025-02-12,Ransomware,Critical,Resolved,Description for incident 230,Security Team,2025-02-12 23:52:00
231,2025-01-12,DDoS,Critical,Investigating,Description for incident 231,David,2025-01-12 10:50:00
232,2025-02-09,Ransomware,Low,Open,Description for incident 232,Grace,2025-02-09 04:51:00
233,2025-02-18,Ransomware,High,Resolved,Description for incident 233,Security Team,2025-02-18 02:21:00
234,2025-01-15,Password Attack,Critical,Resolved,Description for incident 234,Grace,2025-01-15 03:23:00
235,2025-02-15,Data Breach,Medium,Resolved,Description for incident 235,Web Team,2025-02-15 12:05:00
236,2025-02-28,Malware,Low,Investigating,Description for incident 236,Web Team,2025-02-28 00:38:00
237,2025-01-05,Network Intrusion,Medium,Open,Description for incident 237,Frank,2025-01-05 06:07:00
238,2025-01-11,Ransomware,Low,Open,Description for incident 238,Alice,2025-01-11 05:12:00
239,2025-01-21,SQL Injection,Medium,Investigating,Description for incident 239,Alice,2025-01-21 07:52:00
240,2025-01-12,Phishing,High,Investigating,Description for incident 240,Security Team,2025-01-12 18:07:00
241,2025-02-08,SQL Injection,High,Mitigating,Description for incident 241,Grace,2025-02-08 16:00:00
242,2025-01-02,Ransomware,Medium,Open,Description for incident 242,IT Admin,2025-01-02 08:08:00
243,2025-01-16,SQL Injection,Low,Resolved,Description for incident 243,Frank,2025-01-16 07:44:00
244,2025-01-18,Password Attack,Critical,Mitigating,Description for incident 244,IT Admin,2025-01-18 20:59:00
245,2025-01-30,Network Intrusion,Critical,Investigating,Description for incident 245,Security Team,2025-01-30 14:18:00
246,2025-01-21,Password Attack,Low,Resolved,Description for incident 246,Grace,2025-01-21 05:49:00
247,2025-02-07,Unauthorized Access,Low,Investigating,Description for incident 247,Charlie,2025-02-07 19:22:00
248,2025-01-26,SQL Injection,High,Resolved,Description for incident 248,Charlie,2025-01-26 06:43:00
249,2025-02-10,Password Attack,Critical,Investigating,Description for incident 249,Web Team,2025-02-10 00:24:00
250,2025-01-05,Ransomware,Low,Investigating,Description for incident 250,Frank,2025-01-05 00:14:00
251,2025-01-30,Insider Threat,Low,Mitigating,Description for incident 251,Grace,2025-01-30 15:01:00
252,2025-02-26,Network Intrusion,High,Resolved,Description for incident 252,Frank,2025-02-26 22:04:00
253,2025-01-12,DDoS,High,Resolved,Description for incident 253,Eve,2025-01-12 05:06:00
254,2025-02-04,Data Breach,Medium,Open,Description for incident 254,Alice,2025-02-04 01:23:00
255,2025-01-11,Phishing,Critical,Mitigating,Description for incident 255,Bob,2025-01-11 23:07:00
256,2025-02-15,Network Intrusion,Medium,Open,Description for incident 256,Grace,2025-02-15 07:19:00
257,2025-02-11,Malware,Medium,Investigating,Description for incident 257,Frank,2025-02-11 01:07:00
258,2025-01-16,Malware,Critical,Investigating,Description for incident 258,Web Team,2025-01-16 19:30:00
259,2025-01-06,DDoS,Medium,Open,Description for incident 259,Security Team,2025-01-06 18:20:00
260,2025-02-06,Malware,Critical,Investigating,Description for incident 260,Bob,2025-02-06 12:14:00
261,2025-03-01,Malware,Medium,Open,Description for incident 261,Security Team,2025-03-01 10:06:00
262,2025-01-18,DDoS,High,Investigating,Description for incident 262,Grace,2025-01-18 18:48:00
263,2025-01-20,Malware,Medium,Resolved,Description for incident 263,Security Team,2025-01-20 14:41:00
264,2025-02-23,Network Intrusion,Medium,Mitigating,Description for incident 264,Alice,2025-02-23 11:40:00
265,2025-02-21,Phishing,Critical,Resolved,Description for incident 265,David,2025-02-21 15:39:00
266,2025-03-02,Data Breach,Critical,Resolved,Description for incident 266,Security Team,2025-03-02 06:00:00
267,2025-02-21,Ransomware,Critical,Open,Description for incident 267,Eve,2025-02-21 12:31:00
268,2025-01-16,Data Breach,Medium,Open,Description for incident 268,Eve,2025-01-16 01:37:00
269,2025-01-25,Data Breach,Medium,Mitigating,Description for incident 269,Grace,2025-01-25 20:36:00
270,2025-02-21,DDoS,High,Investigating,Description for incident 270,Alice,2025-02-21 07:03:00
271,2025-01-16,SQL Injection,Medium,Investigating,Description for incident 271,IT Admin,2025-01-16 17:43:00
272,2025-02-01,Data Breach,Medium,Mitigating,Description for incident 272,Security Team,2025-02-01 09:51:00
273,2025-03-02,SQL Injection,Low,Mitigating,Description for incident 273,Security Team,2025-03-02 05:58:00
274,2025-01-28,Password Attack,Low,Open,Description for incident 274,Security Team,2025-01-28 21:08:00
275,2025-02-12,Malware,Low,Open,Description for incident 275,Frank,2025-02-12 08:42:00
276,2025-01-30,Insider Threat,Critical,Resolved,Description for incident 276,David,2025-01-30 19:23:00
277,2025-01-22,Insider Threat,Medium,Resolved,Description for incident 277,Charlie,2025-01-22 20:58:00
278,2025-02-24,Phishing,High,Investigating,Description for incident 278,IT Admin,2025-02-24 20:38:00
279,2025-01-05,Malware,Critical,Resolved,Description for incident 279,Charlie,2025-01-05 17:11:00
280,2025-02-16,DDoS,Critical,Mitigating,Description for incident 280,Charlie,2025-02-16 02:10:00
281,2025-02-24,Unauthorized Access,Critical,Investigating,Description for incident 281,Charlie,2025-02-24 05:27:00
282,2025-01-10,Insider Threat,High,Resolved,Description for incident 282,Charlie,2025-01-10 13:34:00
283,2025-01-16,Network Intrusion,Low,Open,Description for incident 283,Frank,2025-01-16 15:53:00
284,2025-01-15,SQL Injection,Critical,Open,Description for incident 284,Security Team,2025-01-15 03:29:00
285,2025-01-10,Malware,Critical,Investigating,Description for incident 285,David,2025-01-10 11:21:00
286,2025-02-21,DDoS,High,Mitigating,Description for incident 286,Security Team,2025-02-21 01:55:00
